Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
KOI-55 b;KOI-55;Раскаленный каменистый мир;0.44;0.76;5.54;7123;0.24;0.006;0.906;0.053;Оригинал;Оригинал
Kepler-70 b;Kepler-70;Раскаленный каменистый мир;0.44;0.76;5.54;6989;0.24;0.006;0.909;0.054;Оригинал;Оригинал
KOI-55 c;KOI-55;Раскаленный каменистый мир;0.66;0.87;5.54;6325;0.34;0.008;0.948;0.062;Оригинал;Оригинал
Kepler-70 c;Kepler-70;Раскаленный каменистый мир;0.67;0.86;5.72;6206;0.34;0.008;0.911;0.063;Оригинал;Оригинал
WD 1647+375 b;WD 1647+375;Раскаленный каменистый мир;0.00;0.01;1.44;593;2.96;0.033;0.996;0.069;Оригинал;Оригинал
TOI-1444 b;TOI-1444;Раскаленный каменистый мир;3.58;1.42;6.92;2129;0.47;0.012;0.840;0.172;Оригинал;Оригинал
K2-223 b;K2-223;Раскаленный каменистый мир;1.00;0.89;7.85;2287;0.51;0.013;0.494;0.173;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 212624936 b;EPIC 212624936;Раскаленный каменистый мир;1.94;1.20;6.18;2186;0.58;0.013;0.928;0.177;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-157 b;K2-157;Раскаленный каменистый мир;1.14;0.94;7.68;2224;0.37;0.010;0.543;0.181;Оригинал;Оригинал
Kepler-10 b;Kepler-10;Раскаленный каменистый мир;3.24;1.47;5.62;2001;0.84;0.017;0.887;0.181;Оригинал;Оригинал
Kepler-407 Ab;Kepler-407 A;Раскаленный каменистый мир;1.67;1.16;5.88;2163;0.67;0.015;0.977;0.181;Оригинал;Оригинал
K2-282 c;K2-282;Раскаленный каменистый мир;3.90;1.48;6.63;1973;0.71;0.015;0.914;0.183;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 201427007 b;EPIC 201427007;Раскаленный каменистый мир;3.67;1.50;6.00;1941;0.72;0.015;0.955;0.185;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 206024342 c;EPIC 206024342;Раскаленный каменистый мир;3.60;1.40;7.23;1986;0.91;0.018;0.773;0.185;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-561 b;TOI-561;Раскаленный каменистый мир;2.02;1.40;4.08;1987;0.45;0.011;0.598;0.185;Оригинал;Оригинал
TOI-1798.02;TOI-1798;Раскаленный каменистый мир;3.96;1.46;6.96;1938;0.44;0.011;0.843;0.186;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1087 Ab;Kepler-1087 A;Раскаленный каменистый мир;0.82;0.83;7.92;2068;0.69;0.015;0.457;0.187;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-757 b;Kepler-757;Раскаленный каменистый мир;2.83;1.36;6.20;1975;1.02;0.020;0.968;0.188;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KOI-6532 b;LPI-7913;Раскаленный каменистый мир;3.66;1.47;6.37;1919;0.81;0.017;0.964;0.188;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-78 b;Kepler-78;Раскаленный каменистый мир;1.68;1.20;5.34;2029;0.36;0.009;0.904;0.190;Оригинал;Оригинал
Kepler-1531 b;Kepler-1531;Раскаленный каменистый мир;1.96;1.11;7.91;2078;1.14;0.022;0.554;0.191;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1310 b;Kepler-1310;Раскаленный каменистый мир;3.92;1.44;7.24;1896;0.68;0.015;0.781;0.191;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-158 d;Kepler-158;Раскаленный каменистый мир;0.09;0.43;6.36;1566;0.65;0.013;0.584;0.192;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-407 b;Kepler-407;Раскаленный каменистый мир;1.93;1.19;6.31;2020;0.67;0.015;0.899;0.192;Оригинал;Оригинал
Kepler-780 Ab;Kepler-780 A;Раскаленный каменистый мир;0.92;0.89;7.30;2053;0.68;0.015;0.602;0.192;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-361 b;K2-361;Раскаленный каменистый мир;2.23;1.20;7.12;1993;0.58;0.014;0.740;0.194;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 93963 A b;HD 93963 A;Раскаленный каменистый мир;2.80;1.47;4.86;1843;1.04;0.021;0.735;0.195;Оригинал;Оригинал
Kepler-78 Ab;Kepler-78 A;Раскаленный каменистый мир;1.97;1.12;7.70;1973;0.36;0.009;0.601;0.200;Оригинал;Оригинал
Kepler-1107 b;Kepler-1107;Раскаленный каменистый мир;3.08;1.34;7.05;1859;0.57;0.013;0.794;0.200;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-908 Ab;Kepler-908 A;Раскаленный каменистый мир;1.84;1.16;6.49;1945;1.34;0.023;0.854;0.200;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1566 b;Kepler-1566;Раскаленный каменистый мир;0.62;0.79;6.94;1884;0.54;0.012;0.639;0.201;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1067 b;Kepler-1067;Раскаленный каменистый мир;0.69;0.80;7.47;1877;0.76;0.016;0.536;0.202;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-312 b;Kepler-312;Раскаленный каменистый мир;3.07;1.29;7.88;1857;1.77;0.031;0.613;0.202;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-922 b;Kepler-922;Раскаленный каменистый мир;3.06;1.42;5.89;1776;0.94;0.018;0.954;0.204;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1338 b;Kepler-1338;Раскаленный каменистый мир;1.04;0.92;7.36;1939;0.94;0.019;0.603;0.205;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-929 b;Kepler-929;Раскаленный каменистый мир;1.80;1.11;7.27;1917;0.92;0.019;0.684;0.206;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-2003 b;Kepler-2003;Раскаленный каменистый мир;0.49;0.69;7.97;1751;0.94;0.018;0.395;0.206;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1415 b;Kepler-1415;Раскаленный каменистый мир;2.57;1.29;6.61;1804;0.64;0.014;0.868;0.208;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1807 b;TOI-1807;Раскаленный каменистый мир;2.44;1.50;4.01;1694;0.55;0.012;0.558;0.210;Оригинал;Оригинал
TOI-4552  b;TOI-4552;Раскаленный каменистый мир;1.83;1.11;7.38;1876;0.30;0.008;0.661;0.210;Оригинал;Оригинал
Kepler-1031 b;Kepler-1031;Раскаленный каменистый мир;0.90;0.87;7.56;1847;1.23;0.023;0.545;0.211;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1427 Ab;Kepler-1427 A;Раскаленный каменистый мир;1.71;1.10;7.12;1859;0.97;0.019;0.709;0.212;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1264 Ab;Kepler-1264 A;Раскаленный каменистый мир;2.31;1.18;7.79;1807;0.97;0.019;0.599;0.214;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1763 b;Kepler-1763;Раскаленный каменистый мир;1.68;1.15;6.16;1822;1.48;0.026;0.917;0.214;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1860 b;TOI-1860;Раскаленный каменистый мир;3.26;1.31;8.00;1723;1.07;0.020;0.595;0.216;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-211 b;K2-211;Раскаленный каменистый мир;2.66;1.33;6.22;1713;0.67;0.014;0.957;0.216;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1091 b;Kepler-1091;Раскаленный каменистый мир;4.00;1.46;7.09;1657;1.43;0.025;0.817;0.216;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1259 b;Kepler-1259;Раскаленный каменистый мир;3.60;1.43;6.79;1663;0.66;0.014;0.869;0.217;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
BD+05 4868 Ab;BD+05 4868 A;Раскаленный каменистый мир;0.02;0.31;3.43;1171;1.27;0.020;0.908;0.218;Оригинал;Оригинал
Kepler-910 b;Kepler-910;Раскаленный каменистый мир;0.76;0.82;7.62;1737;2.36;0.038;0.515;0.219;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-299 c;K2-299;Раскаленный каменистый мир;3.17;1.40;6.36;1654;0.91;0.018;0.947;0.219;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KOI-4978 b;KOI-4978;Раскаленный каменистый мир;0.47;0.70;7.59;1637;0.94;0.018;0.472;0.220;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-207 c;Kepler-207;Раскаленный каменистый мир;3.88;1.50;6.34;1606;3.07;0.042;0.977;0.220;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-187 b;K2-187;Раскаленный каменистый мир;2.33;1.20;7.43;1728;0.77;0.016;0.678;0.221;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-607 b;Kepler-607;Раскаленный каменистый мир;0.80;0.87;6.70;1752;0.64;0.014;0.716;0.222;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1416 b;Kepler-1416;Раскаленный каменистый мир;0.97;0.88;7.85;1754;1.50;0.026;0.490;0.222;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1860 Ab;TOI-1860 A;Раскаленный каменистый мир;2.19;1.31;5.37;1672;1.06;0.020;0.879;0.222;Оригинал;Оригинал
Kepler-1377 b;Kepler-1377;Раскаленный каменистый мир;2.77;1.25;7.82;1688;0.74;0.015;0.614;0.223;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1604 b;Kepler-1604;Раскаленный каменистый мир;3.82;1.41;7.51;1608;0.68;0.014;0.720;0.225;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-362 b;K2-362;Раскаленный каменистый мир;1.29;0.99;7.34;1793;0.76;0.016;0.631;0.225;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-201 b;K2-201;Раскаленный каменистый мир;2.68;1.40;5.39;1607;1.06;0.020;0.858;0.225;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1532 b;Kepler-1532;Раскаленный каменистый мир;3.40;1.35;7.60;1621;1.09;0.020;0.685;0.226;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1082 b;Kepler-1082;Раскаленный каменистый мир;1.91;1.12;7.48;1716;1.54;0.026;0.644;0.228;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 155918 b;HD 155918;Раскаленный каменистый мир;4.12;1.50;6.76;1540;1.88;0.030;0.891;0.229;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1934 b;Kepler-1934;Раскаленный каменистый мир;1.10;0.91;7.96;1700;1.42;0.024;0.481;0.231;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1372 b;Kepler-1372;Раскаленный каменистый мир;2.78;1.27;7.48;1615;1.31;0.023;0.688;0.232;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1528 b;Kepler-1528;Раскаленный каменистый мир;3.23;1.46;5.71;1535;1.79;0.029;0.908;0.232;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-255 d;Kepler-255;Раскаленный каменистый мир;2.52;1.32;6.04;1592;1.05;0.019;0.989;0.232;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1084 b;Kepler-1084;Раскаленный каменистый мир;1.52;1.11;6.12;1683;2.05;0.033;0.914;0.232;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-157 Ab;Kepler-157 A;Раскаленный каменистый мир;3.14;1.32;7.48;1564;1.73;0.028;0.702;0.235;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-808 b;Kepler-808;Раскаленный каменистый мир;3.37;1.46;5.96;1508;0.63;0.013;0.957;0.236;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1825 b;Kepler-1825;Раскаленный каменистый мир;3.44;1.42;6.59;1521;1.03;0.019;0.907;0.236;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-775 b;Kepler-775;Раскаленный каменистый мир;2.44;1.19;7.99;1615;0.97;0.019;0.562;0.236;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1379 b;Kepler-1379;Раскаленный каменистый мир;2.68;1.30;6.72;1563;0.88;0.017;0.849;0.237;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-157 b;Kepler-157;Раскаленный каменистый мир;2.90;1.32;6.95;1548;1.73;0.028;0.807;0.238;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1960 b;Kepler-1960;Раскаленный каменистый мир;3.18;1.31;7.84;1547;2.30;0.035;0.627;0.239;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1084 Ab;Kepler-1084 A;Раскаленный каменистый мир;1.60;1.11;6.46;1631;2.05;0.033;0.845;0.239;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1205 b;Kepler-1205;Раскаленный каменистый мир;3.05;1.41;6.00;1488;1.08;0.019;0.979;0.241;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-290 d;Kepler-290;Раскаленный каменистый мир;0.74;0.86;6.38;1586;0.76;0.015;0.777;0.242;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1271 b;Kepler-1271;Раскаленный каменистый мир;4.07;1.48;6.92;1455;3.03;0.043;0.855;0.242;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-336 b;Kepler-336;Раскаленный каменистый мир;1.51;1.02;7.85;1647;2.02;0.032;0.540;0.243;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1834 c;Kepler-1834;Раскаленный каменистый мир;1.86;1.22;5.66;1541;0.77;0.015;0.962;0.245;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1355 b;Kepler-1355;Раскаленный каменистый мир;3.58;1.46;6.33;1442;1.29;0.022;0.968;0.245;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1399 b;Kepler-1399;Раскаленный каменистый мир;2.31;1.25;6.52;1510;1.64;0.027;0.875;0.248;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1315 b;Kepler-1315;Раскаленный каменистый мир;3.54;1.38;7.42;1458;0.84;0.016;0.731;0.248;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-336 Ab;Kepler-336 A;Раскаленный каменистый мир;1.43;1.02;7.42;1613;2.02;0.030;0.624;0.248;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1869 c;Kepler-1869;Раскаленный каменистый мир;0.53;0.74;7.27;1455;1.72;0.028;0.552;0.250;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1039 b;Kepler-1039;Раскаленный каменистый мир;2.77;1.46;4.90;1404;0.93;0.017;0.746;0.251;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-770 c;Kepler-770;Раскаленный каменистый мир;2.16;1.20;6.89;1502;1.48;0.025;0.786;0.252;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1408 b;Kepler-1408;Раскаленный каменистый мир;1.01;0.89;7.88;1518;3.00;0.043;0.488;0.255;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
